,0,1,2,3,class
123,1.965625,489.643330078125,0.019375,427.8552165364584,no_dust
124,,,,,no_dust
125,,,,,no_dust
126,,,,,no_dust
,0,1,2,3,class
0,21.234168749999988,4592.397483105471,0.0011575000000000001,373.5633969453128,no_dust
1,37.71290625000002,7882.749149238276,-0.0016350000000000002,467.24814224218716,no_dust
2,48.573993749999964,9668.018855566404,-0.0036437500000000033,1158.7426483757815,no_dust
3,92.3004374999999,14929.629457500005,0.019641250000000016,3763.6279445835903,no_dust
4,58.83614999999997,10829.64369304688,0.005661250000000004,1672.0292530742183,no_dust
5,35.357210195530726,7285.608942639232,-0.0021962290502793285,686.894064653893,no_dust
6,25.667647058823537,5487.567539062497,-0.007355103806228375,540.0826071434365,no_dust
7,26.267868750000012,5724.570008847647,-0.006713750000000003,492.8052749195309,no_dust
8,85.79599325726142,14449.10832801155,-0.013211877593361003,2236.5386874003166,no_dust
9,26.169375000000016,5790.239010351562,-0.008236250000000002,440.899487452344,no_dust
10,11.473531105990785,2716.2309204889107,0.0023559907834101385,348.0787394981277,no_dust
11,69.4779375,12476.211416718748,-0.006540000000000001,1376.9122252828124,no_dust
12,58.99584374999999,10798.527249316405,0.004786250000000002,1210.7997001414062,no_dust
13,66.88713750000001,12212.611039687496,0.0024349999999999958,1341.6347992749993,no_dust
14,64.93256249999995,11633.610659414071,-0.012608749999999995,1400.508696083593,no_dust
15,88.20653835836903,14692.064565890725,-0.006722103004291841,1964.975426678179,no_dust
16,95.29142441860465,15205.1048292564,0.003354915433403808,2892.7380168860695,no_dust
17,7.3501233552631575,1750.6820184775906,-0.004549342105263159,127.27066975123358,no_dust
18,14.794781249999998,3294.5016327539056,-0.011200000000000005,289.23629150312513,no_dust
19,18.765768750000028,4119.853391191403,0.011626249999999989,209.26283690546887,no_dust
20,11.505226293103464,2573.6362092297163,0.004199507389162567,143.20082098406715,no_dust
21,44.03818125000003,8831.644953222665,-0.016535,422.3147893812497,no_dust
22,44.158031250000015,8670.92987443359,0.02456750000000001,685.9532850328121,no_dust
23,20.135437499999995,4261.834310273438,0.002676250000000001,310.58643491953154,no_dust
24,28.50740625000001,5887.273328613282,-0.006365,356.10271616406266,no_dust
25,63.08158124999997,11785.883003964846,-0.013777499999999995,730.75090629375,no_dust
26,64.63230000000003,11827.112054414063,-0.012392500000000008,773.0950074374996,no_dust
27,73.14547499999996,13070.373493359377,0.0027212500000000075,856.6286041257817,no_dust
28,83.14625625000004,14254.825966699216,0.008603750000000004,1070.9115434289058,no_dust
29,84.2778187499999,14333.12622685547,0.009156249999999998,878.3664767164062,no_dust
30,57.480825,11074.099389257808,-0.0019462499999999983,610.3230028023439,no_dust
31,35.02138125,7392.408324433596,0.0053450000000000025,499.05521374374985,no_dust
32,29.704950000000036,6241.781348085942,0.007103749999999993,397.3029057804685,no_dust
33,17.91757499999998,4135.164086250003,-0.004492499999999998,377.7850650484373,no_dust
34,25.31130000000001,5455.8810699609385,0.0010725000000000003,334.7424724953124,no_dust
35,32.167293750000006,6806.334748183588,-0.022198750000000007,562.3013043257814,no_dust
36,42.476624999999984,8383.055207695319,0.0006512499999999982,579.7166631242193,no_dust
37,39.04974375000003,7700.1231854882835,0.008827499999999992,557.6160734781247,no_dust
38,52.872975,10330.40927707031,0.01497749999999998,759.1210833953121,no_dust
39,25.967606249999996,5357.694081972655,-0.009473749999999998,411.69739883203124,no_dust
40,32.62756875000001,7014.668955292965,-0.0007062500000000011,506.7765609007816,no_dust
41,36.270562499999976,7492.422616523436,0.010623750000000008,609.0443730945317,no_dust
42,19.719468750000008,4399.686141855469,-0.003166250000000001,472.89920466171895,no_dust
43,20.931037500000016,4618.759481718756,-0.007586249999999999,276.7644906414063,no_dust
44,16.109943750000006,3712.814569863282,0.0049399999999999965,327.5355503734376,no_dust
45,83.4920999999999,13519.601347499989,0.007772500000000008,1935.1982288859351,no_dust
46,5.744597672064775,1300.5814457869444,0.0027998481781376537,143.05102391431555,no_dust
47,93.15309374999997,15068.840006777342,0.011064999999999997,3894.4945004953133,no_dust
48,76.40023125000013,13605.54453439453,-0.002323749999999997,1698.8314610742182,no_dust
49,73.63858124999996,13324.944793535164,-0.0089875,1486.480280534377,no_dust
50,80.36261249999994,14016.043955742189,0.0003550000000000033,1755.5435541499992,no_dust
51,71.94028125,13124.545770058596,0.01632249999999999,1371.2421343140625,no_dust
52,75.61196250000003,13519.770818906243,-0.006791250000000001,1506.7622642976548,no_dust
53,18.513956250000007,4060.8846571289055,-0.010855,264.4205612859372,no_dust
54,23.402326888489224,5247.760996550421,-0.00406474820143885,193.3801690591276,no_dust
55,0.47420594262295074,119.39953293096825,0.0015471311475409838,24.08905191470286,no_dust
56,1.5232894736842102,377.97920230263156,-0.006940789473684211,31.64785934621711,no_dust
57,8.622824999999999,1982.3996995312505,0.0053425000000000035,81.34453436718748,no_dust
58,8.188049999999995,1897.4994018749999,-0.002227499999999997,97.44666514062492,no_dust
59,64.22716874999998,11899.349393730468,0.04591249999999999,1518.4526348281245,no_dust
60,21.71962499999997,4799.3231369531295,0.00023250000000000188,184.614280409375,no_dust
61,32.65535442073168,6998.932926769721,0.0007685467479674818,379.7024515950522,no_dust
62,24.3378375,5440.466792109372,-0.001933750000000001,199.4425363289063,no_dust
63,30.144825,6103.193971992185,-0.012514999999999993,366.5197585640621,no_dust
64,17.704650000000004,3896.4227667187497,0.0015412500000000003,147.54427620859371,no_dust
65,0.7715773809523807,194.83752650669638,-0.003363095238095238,24.257950217013885,no_dust
66,87.83156249999996,14612.575482421866,0.015579999999999995,1567.2078180218746,no_dust
67,86.65186875,14420.8931109961,-0.0029799999999999965,1530.1634158515626,no_dust
68,86.04337500000001,14473.97530453125,0.018982500000000006,550.554362642187,no_dust
69,71.83509375000003,13001.564495566397,0.0008274999999999967,418.43242084062484,no_dust
70,88.41615000000004,14715.197531015614,0.002315000000000006,996.4265548171859,no_dust
71,72.68583749999993,12553.408995117185,0.0033337499999999956,792.2179515679686,no_dust
72,8.308856250000005,1818.8763027539062,-0.0045999999999999965,202.7510361765627,no_dust
73,4.749693750000005,1159.1227974023443,0.014088749999999992,194.1449247414065,no_dust
74,0.7171874999999999,180.63630035156254,-0.003348750000000001,245.7143173835938,no_dust
75,1.1353875000000007,284.79111011718754,-0.002733749999999999,241.45199787109377,no_dust
76,79.48987500000005,13914.94786101562,-0.019662500000000006,702.2154082171869,no_dust
77,92.92359374999995,15052.423531113276,0.0039024999999999997,1703.3079657953126,no_dust
78,89.47567499999988,14799.34231945312,-0.0021137499999999915,1170.6409296601555,no_dust
79,94.09404374999998,15127.828146738282,0.009016250000000003,1897.9133995367195,no_dust
80,67.01846250000004,12454.555348476557,-0.0026837500000000034,572.6386012554684,no_dust
81,79.77260625000001,13875.315072714831,-0.023324999999999967,784.8382931171878,no_dust
82,60.464006250000004,11380.809055253907,-0.007642500000000001,544.9937134875001,no_dust
83,87.77609999999996,14649.887741835928,-0.02514749999999997,1643.2717691046853,no_dust
84,98.13579375,15388.585000839852,-0.006422499999999997,4302.481227203126,no_dust
85,76.76647499999999,13625.5568417578,0.014176249999999998,1150.1700741070324,no_dust
86,81.49513124999987,14110.73188751954,0.01669000000000001,1296.2228121296873,no_dust
87,98.0417625000001,15378.020317968747,0.010895000000000005,3771.7287051140593,no_dust
88,20.61428571428572,4394.174941406251,0.005159313725490193,1153.3350318200714,no_dust
89,89.86379549050636,14811.741761922718,-0.0016455696202531628,2406.8512243720334,no_dust
90,74.50781249999996,13189.848990885432,-0.0007798032407407411,2088.547989262333,no_dust
91,89.19360576923079,14773.90664963941,-0.0072291666666666555,1772.2777107582142,no_dust
92,80.42923124999996,13758.303093222637,-0.01427625,2836.145006008595,no_dust
93,71.64230995297808,13000.231335441571,0.012014106583072101,3021.6110111505664,no_dust
94,8.406712499999992,1769.3808475781254,0.0005774999999999992,306.1055654562501,no_dust
95,1.9913306451612909,493.5667345010081,-0.004744623655913979,253.38176843918006,no_dust
96,1.2493861607142853,297.85027221679684,-0.0070424107142857155,96.07587235630585,no_dust
97,0.5694522471910113,143.1400484989466,0.0022191011235955047,178.07439623419953,no_dust
98,69.04348125000008,12470.21067603515,-0.003713749999999995,856.4535754085945,no_dust
